Location,Nickname,Abbreviation,Alt Abbreviation
Arizona,Diamondbacks,ARI,AZ
Atlanta,Braves,ATL,""
Baltimore,Orioles,BAL,""
Boston,Red Sox,BOS,""
Chicago,Cubs,CHC,""
Chicago,White Sox,CWS,""
Cincinnati,Reds,CIN,""
Cleveland,Guardians,CLE,""
Colorado,Rockies,COL,""
Detroit,Tigers,DET,""
Houston,Astros,HOU,""
Kansas City,Royals,KC,KCR
Los Angeles,Angels,LAA,""
Los Angeles,Dodgers,LAD,""
Miami,Marlins,MIA,FLA
Milwaukee,Brewers,MIL,MIL
Minnesota,Twins,MIN,""
New York,Mets,NYM,""
New York,Yankees,NYY,""
Oakland,Athletics,OAK,ATH
Philadelphia,Phillies,PHI,PHI
Pittsburgh,Pirates,PIT,PIT
San Diego,Padres,SD,SDP
San Francisco,Giants,SF,SFG
Seattle,Mariners,SEA,SEA
St. Louis,Cardinals,STL,STL
Tampa Bay,Rays,TB,TBR
Texas,Rangers,TEX,TEX
Toronto,Blue Jays,TOR,TOR
Washington,Nationals,WSH,WAS
